code,malepop,femalepop,totalpop,setai,inc_mov_dom,inc_mov_intl,inc_born,inc_other,dec_mov_dom,dec_mov_intl,dec_deaths,dec_other
000000,60663248,63667433,124330690,61287994,5206486,807146,710427,58910,5232024,376536,1608923,119971
010006,2387307,2657518,5044825,2812839,224321,25673,22877,1736,231521,12556,76433,3255
011002,914781,1040897,1955678,1113832,113788,6895,9669,456,103206,3437,24381,1034
011011,111745,134171,245916,154486,20242,1322,1182,73,18377,600,2745,204
011029,135510,148823,284333,157878,14889,1634,1396,52,13635,911,3478,219
011037,123914,136504,260418,147673,14578,568,1362,111,13063,292,3061,162
011045,101647,111884,213531,129155,13739,592,1182,58,12249,288,2674,115
011053,104954,122138,227092,136235,16129,691,1255,61,14559,347,2628,99
011061,61942,71395,133337,73737,6803,601,546,19,6312,212,2121,57
011070,101124,117711,218835,121919,12159,434,1229,38,10556,224,2639,54
011088,56271,67022,123293,67243,5948,365,454,17,5410,216,1643,73
011096,65855,73955,139810,71789,5549,431,636,16,5108,177,1949,20
011100,51819,57294,109113,53717,3752,257,427,11,3937,170,1443,31
012025,107727,128788,236515,138313,7514,570,904,190,8128,255,4400,98
012033,47245,57187,104432,60297,2855,365,311,22,3331,128,2126,43
012041,146486,169697,316183,177167,9078,647,1425,84,9754,342,5282,109
012050,36084,38771,74855,43062,2546,223,346,33,3221,107,1469,15
012068,72445,81826,154271,91270,4814,606,604,26,6252,253,2732,61
012076,76719,84091,160810,90252,6530,590,888,57,7092,331,2229,63
012084,52486,57560,110046,61448,3700,235,487,36,4126,97,1887,42
012092,2884,3223,6107,3733,147,59,6,3,266,36,212,5
012106,34633,39571,74204,40440,2289,102,275,11,2601,72,1309,13
012114,15772,16427,32199,17876,1364,162,160,53,1773,66,536,11
012122,8784,9385,18169,10540,753,32,69,14,1050,22,321,1
012131,81259,84331,165590,91421,5614,483,779,47,5638,266,2216,59
012149,15022,15314,30336,17031,1120,278,113,10,1568,88,471,4
012157,8741,9686,18427,10596,450,32,43,0,634,16,420,4
012165,5191,6052,11243,6721,275,12,32,4,362,5,282,2
012173,56089,61966,118055,59860,4472,259,542,28,4151,186,1565,30
012181,3850,4614,8464,5244,228,24,19,2,284,12,252,2
012190,9278,10482,19760,11560,650,391,76,5,1046,166,390,20
012203,7844,8596,16440,8731,418,149,55,0,751,32,259,9
012211,12008,12734,24742,13703,1046,49,123,10,1457,16,388,1
012220,3354,3914,7268,4385,275,5,24,1,288,4,209,1
012238,10709,11759,22468,12074,705,230,96,6,1054,87,420,14
012246,49513,47842,97355,52491,5485,424,608,24,5981,191,982,31
012254,17316,19199,36515,20643,1437,48,162,20,1802,27,629,3
012262,7066,8165,15231,8420,546,22,74,7,636,11,290,1
012271,1244,1340,2584,1613,68,13,8,0,101,4,68,0
012289,8520,9809,18329,10244,579,74,68,6,759,15,386,2
012297,9281,10343,19624,10586,799,391,83,11,1068,198,327,16
012301,20851,22764,43615,23891,1417,176,164,6,1750,66,778,5
012319,34249,36197,70446,36137,3257,464,378,23,3047,120,825,38
012335,14437,16771,31208,17380,1029,131,115,11,1196,80,614,10
012343,26995,29500,56495,28394,2175,151,202,20,2156,70,724,6
012351,27641,29502,57143,28708,1766,197,258,12,1744,129,831,31
012360,20159,22651,42810,22074,1198,125,173,21,1627,41,683,16
013030,7392,7721,15113,7784,614,57,56,13,655,31,219,8
013048,1320,1410,2730,1341,68,8,7,0,95,5,61,0
013315,2757,3061,5818,3579,160,7,11,3,224,3,163,3
013323,1582,1796,3378,1900,98,9,11,1,104,5,99,0
013331,1865,1918,3783,1962,126,0,14,0,164,16,66,9
013340,1655,1873,3528,1982,96,7,11,0,130,2,98,0
013374,12558,14581,27139,14036,903,76,127,9,976,60,475,9
013439,1669,1839,3508,1857,107,48,8,2,120,41,62,4
013455,6326,7256,13582,7464,352,246,44,6,531,134,254,12
013463,7202,7312,14514,7956,659,156,62,3,754,134,238,19
013471,2224,2472,4696,2766,193,124,24,4,244,85,124,13
013617,3186,3421,6607,3971,315,8,26,2,404,6,151,3
013625,1926,2207,4133,2336,105,8,15,1,148,5,96,1
013633,1564,1705,3269,1768,83,15,7,1,146,6,89,1
013641,1413,1694,3107,1721,65,2,6,1,111,4,101,0
013676,1120,1018,2138,1339,129,0,8,0,218,1,49,0
013706,2147,2297,4444,2341,113,8,7,0,196,2,109,0
013714,3186,3544,6730,3777,184,26,19,2,246,5,197,1
013919,617,629,1246,744,23,1,3,2,45,0,24,0
013927,1302,1327,2629,1554,89,24,13,1,127,3,56,6
013935,1169,1277,2446,1374,112,11,5,1,193,4,57,2
013943,2178,2323,4501,2460,264,82,15,3,235,23,84,17
013951,2830,2721,5551,3260,370,714,22,19,472,361,54,168
013960,996,942,1938,1002,112,73,8,1,141,34,32,1
013978,1046,972,2018,1197,149,212,6,0,216,80,24,65
013986,958,970,1928,1161,116,39,7,1,138,8,36,10
013994,1358,1418,2776,1459,158,48,11,7,178,16,48,6
014001,8967,8153,17120,10777,1365,2861,88,42,1579,1521,134,507
014010,2741,2623,5364,2761,293,30,43,1,351,16,64,2
014028,5177,5736,10913,6382,456,46,34,5,468,20,229,5
014036,698,722,1420,842,70,3,6,0,81,1,41,0
014044,358,382,740,447,19,1,0,0,21,0,16,0
014052,795,907,1702,983,53,1,9,0,81,0,50,0
014061,1218,1371,2589,1623,55,14,8,0,67,7,69,1
014079,1489,1562,3051,1679,228,109,19,8,186,107,55,5
014087,7875,9079,16954,9475,662,94,70,6,687,41,366,6
014095,804,688,1492,1039,152,474,4,1,164,220,12,96
014231,3826,4107,7933,3758,429,52,57,4,247,29,114,4
014249,2242,2462,4704,2583,149,8,15,1,179,6,101,2
014257,1102,1258,2360,1483,75,8,4,2,107,4,77,0
014273,2160,2367,4527,2271,111,8,13,2,173,9,87,0
014281,4766,5171,9937,4880,279,23,51,1,271,15,184,4
014290,4986,5667,10653,5688,329,20,35,0,420,7,206,3
014303,1419,1313,2732,1538,96,5,13,44,175,2,66,4
014311,762,815,1577,776,40,6,7,0,52,0,29,0
014320,2904,3325,6229,2968,142,22,33,1,164,9,107,1
014338,1211,1354,2565,1354,57,4,6,0,78,4,55,0
014346,1025,1157,2182,1061,66,4,10,0,84,2,41,0
014362,997,1047,2044,1033,47,2,5,0,73,0,46,0
014371,752,841,1593,777,46,1,4,0,48,0,43,4
014389,1356,1442,2798,1445,112,2,12,0,109,1,58,0
014524,3088,3375,6463,3074,185,4,33,0,222,12,109,1
014532,4641,5134,9775,4426,347,25,38,5,340,11,148,3
014541,2816,3238,6054,3036,177,11,31,1,186,5,111,0
014559,1619,1806,3425,1763,88,13,13,0,82,8,70,0
014567,1151,1267,2418,1288,73,59,1,0,148,4,43,0
014575,1458,1627,3085,1882,164,68,10,4,196,42,70,3
014583,4047,4626,8673,4373,492,316,37,13,500,118,130,13
014591,4351,4932,9283,4803,368,39,35,4,363,35,193,4
014605,4919,4787,9706,5181,497,67,49,9,723,25,163,9
014613,2116,2370,4486,2140,196,33,12,0,237,10,85,2
014621,1143,1093,2236,1293,104,16,8,1,146,4,25,6
014630,829,761,1590,1177,220,430,7,6,360,227,14,63
014648,1343,1464,2807,1462,65,7,7,1,112,2,61,1
014656,1343,1385,2728,1399,68,8,7,2,120,1,45,2
014681,1365,1471,2836,1597,100,13,6,0,154,12,51,1
014699,1778,1903,3681,2025,154,20,11,2,203,9,83,0
014702,316,285,601,418,69,2,2,0,103,0,5,0
014711,661,608,1269,707,68,0,5,0,81,0,27,0
014729,601,621,1222,683,56,3,6,0,72,1,30,1
014818,1652,1968,3620,2074,88,23,8,3,131,17,78,1
014826,1279,1385,2664,1494,66,25,4,3,116,31,62,6
014834,1301,1365,2666,1433,96,11,14,0,112,9,81,0
014842,2878,3067,5945,3317,221,24,11,0,315,4,125,2
014851,499,506,1005,500,36,4,2,0,66,2,15,0
014869,1098,1160,2258,1259,76,6,10,0,119,5,43,2
014877,1361,1281,2642,1444,126,22,9,2,197,9,41,2
015113,1260,1329,2589,1264,74,59,9,9,111,55,42,2
015121,1564,1657,3221,1826,155,30,14,6,187,20,69,7
015130,739,733,1472,827,67,1,5,0,84,1,20,0
015148,3432,3767,7199,3881,256,100,36,3,326,58,109,3
015164,1807,1708,3515,1917,140,11,15,0,165,8,60,1
015172,1122,1061,2183,1182,126,37,5,0,176,14,37,11
015181,914,916,1830,1008,88,1,9,1,105,0,29,0
015199,1047,1104,2151,1197,122,16,11,0,147,3,42,0
015202,1066,976,2042,1181,111,12,11,0,161,3,30,0
015431,8437,8892,17329,9189,515,73,63,5,808,14,316,2
015440,1953,2017,3970,2133,102,8,8,2,148,0,102,0
015458,5186,5327,10513,5458,416,191,49,3,578,94,164,4
015466,1792,1830,3622,1670,109,3,14,0,132,1,86,0
015474,2072,2270,4342,2037,137,13,17,1,162,4,75,0
015491,2166,2282,4448,2090,136,23,16,9,172,13,84,0
015504,1168,1375,2543,1351,98,11,4,0,110,5,63,0
015521,2151,2495,4646,2460,151,88,20,4,186,39,79,1
015555,8584,9062,17646,9622,647,43,79,9,849,17,324,10
015598,3776,4125,7901,4042,257,99,28,3,277,31,149,12
015601,1074,1134,2208,1275,75,10,6,2,114,6,58,0
015610,1723,1772,3495,1830,152,63,17,1,226,25,50,1
015628,486,470,956,639,48,18,3,0,73,7,14,0
015636,1936,2097,4033,2224,126,112,17,2,188,44,82,3
015644,3166,3275,6441,2979,168,11,30,0,247,1,145,1
015717,1679,1812,3491,2021,157,47,11,1,179,20,72,12
015750,1118,1195,2313,1312,103,41,6,1,139,26,61,3
015784,7173,7922,15095,9169,493,108,43,6,606,37,352,11
015814,2146,2081,4227,2101,192,21,12,4,231,14,63,0
015849,3651,4255,7906,4742,338,143,14,1,386,66,197,9
015857,3597,3617,7214,3982,421,82,30,2,469,12,150,1
015865,3582,3639,7221,4038,331,172,27,0,457,18,139,18
016012,5641,5263,10904,6227,493,138,49,17,675,24,170,31
016021,2188,2247,4435,2377,192,55,13,0,264,19,78,3
016047,2519,2492,5011,2797,229,93,16,3,346,34,83,4
016071,5726,5505,11231,6642,609,142,49,6,785,27,202,14
016080,1829,1948,3777,2031,84,11,7,2,139,5,82,2
016098,2045,2015,4060,1989,118,57,18,6,210,24,69,14
016101,9978,10251,20229,11281,870,78,91,7,1009,42,351,6
016314,20288,22395,42683,20981,1484,339,221,10,1699,74,556,13
016322,2819,2871,5690,2737,190,43,28,0,262,41,92,5
016331,2381,2377,4758,2587,274,64,22,6,256,47,82,7
016349,2401,2527,4928,2460,195,30,25,1,292,27,62,3
016357,2759,2744,5503,3294,294,233,18,13,302,147,113,24
016365,4368,4387,8755,4657,362,89,38,3,414,61,167,2
016373,8480,9293,17773,8033,556,48,85,1,590,27,253,2
016381,1851,1972,3823,1917,163,18,20,1,192,13,58,2
016390,1514,1570,3084,1362,105,2,25,0,130,0,46,1
016411,2670,2596,5266,2805,270,89,25,0,320,48,83,4
016420,2842,3038,5880,3123,205,14,25,7,249,13,117,1
016438,11994,13275,25269,12671,805,91,116,8,933,66,364,5
016446,2777,3129,5906,3213,186,2,24,0,195,11,111,1
016454,1418,1460,2878,1463,189,32,18,0,229,16,52,1
016462,2965,3081,6046,3328,249,14,25,2,305,8,116,5
016471,2950,3002,5952,3198,197,8,18,1,302,6,134,2
016489,1063,1057,2120,1248,92,12,5,4,91,13,48,0
016497,2028,2080,4108,2163,126,25,18,0,170,6,77,3
016616,8744,9636,18380,9638,814,22,65,10,911,29,228,5
016624,3883,4312,8195,4210,240,61,36,3,309,47,179,5
016632,2559,2687,5246,2546,201,88,23,7,291,31,79,5
016641,3357,3479,6836,3583,258,47,22,1,334,24,127,6
016659,3099,3333,6432,3696,228,20,31,1,334,23,128,3
016675,1222,1210,2432,1187,114,14,11,0,111,18,44,0
016683,3289,3714,7003,3942,186,68,21,1,210,50,133,7
016918,7123,6841,13964,6822,541,115,64,10,666,112,179,19
016926,11004,11253,22257,11513,902,129,128,11,1020,60,266,7
016934,2315,2483,4798,2369,175,35,25,1,196,22,65,4
016942,2159,2108,4267,2003,133,30,9,2,201,11,59,3
016951,0,0,0,0,0,0,0,0,0,0,0,0
016969,0,0,0,0,0,0,0,0,0,0,0,0
016977,0,0,0,0,0,0,0,0,0,0,0,0
