code,totalpop,malepop,femalepop
00000,123049524,59778826,63270698
01000,4985419,2355629,2629790
01100,1964034,914867,1049167
01101,255882,116592,139290
01102,285798,135387,150411
01103,261249,124247,137002
01104,210753,99579,111174
01105,230960,106835,124125
01106,132525,61143,71382
01107,217774,100211,117563
01108,122003,55070,66933
01109,139146,65052,74094
01110,107944,50751,57193
01202,230498,104553,125945
01203,100404,45265,55139
01204,305701,140451,165250
01205,74019,36408,37611
01206,151326,70765,80561
01207,160764,76654,84110
01208,108287,51918,56369
01209,5618,2634,2984
01210,73004,33971,39033
01211,32770,16354,16416
01212,17360,8443,8917
01213,164420,81145,83275
01214,30068,14942,15126
01215,17668,8370,9298
01216,10605,4930,5675
01217,119568,56798,62770
01218,8268,3750,4518
01219,19463,9077,10386
01220,15785,7513,8272
01221,24398,11857,12541
01222,6907,3217,3690
01223,21201,10050,11151
01224,98177,50072,48105
01225,35845,16968,18877
01226,14998,6943,8055
01227,2451,1168,1283
01228,17720,8167,9553
01229,19321,9100,10221
01230,41991,19941,22050
01231,70918,34449,36469
01233,30108,13816,16292
01234,55838,26533,29305
01235,55771,26777,28994
01236,40601,18980,21621
01303,14949,7272,7677
01304,2734,1341,1393
01331,5263,2420,2843
01332,3184,1487,1697
01333,3654,1810,1844
01334,3258,1510,1748
01337,26966,12532,14434
01343,3347,1579,1768
01345,12852,5938,6914
01346,14813,7495,7318
01347,5310,2939,2371
01361,6259,2994,3265
01362,3658,1676,1982
01363,3099,1487,1612
01364,2937,1345,1592
01367,2049,1087,962
01370,4393,2139,2254
01371,6371,3002,3369
01391,1170,590,580
01392,2496,1233,1263
01393,2643,1374,1269
01394,4346,2114,2232
01395,5370,2771,2599
01396,1965,1031,934
01397,1877,969,908
01398,2008,1064,944
01399,2809,1382,1427
01400,14763,7967,6796
01401,5989,3463,2526
01402,10365,5054,5311
01403,1490,803,687
01404,803,389,414
01405,1498,711,787
01406,2399,1146,1253
01407,3188,1559,1629
01408,16486,7666,8820
01409,1067,574,493
01423,7890,3787,4103
01424,4543,2137,2406
01425,2327,1093,1234
01427,4349,2062,2287
01428,9479,4500,4979
01429,10405,4828,5577
01430,2993,1706,1287
01431,1533,747,786
01432,6114,2828,3286
01433,2291,1097,1194
01434,2116,985,1131
01436,2147,1031,1116
01437,1531,737,794
01438,2654,1292,1362
01452,6173,2928,3245
01453,9588,4469,5119
01454,5826,2688,3138
01455,3261,1560,1701
01456,2288,1089,1199
01457,3170,1521,1649
01458,8726,4055,4671
01459,9337,4335,5002
01460,9150,4643,4507
01461,4285,2008,2277
01462,2195,1137,1058
01463,1487,777,710
01464,2669,1268,1401
01465,2640,1298,1342
01468,2744,1330,1414
01469,3635,1783,1852
01470,599,321,278
01471,1230,650,580
01472,1201,605,596
01481,3343,1521,1822
01482,2562,1244,1318
01483,2560,1261,1299
01484,5642,2762,2880
01485,946,472,474
01486,2163,1065,1098
01487,2535,1327,1208
01511,2506,1213,1293
01512,3039,1468,1571
01513,1415,709,706
01514,7025,3377,3648
01516,3431,1782,1649
01517,2179,1136,1043
01518,1768,888,880
01519,2140,1033,1107
01520,2012,1083,929
01543,16707,8156,8551
01544,3774,1882,1892
01545,10717,5309,5408
01546,3571,1758,1813
01547,4195,2022,2173
01549,4245,2044,2201
01550,2469,1150,1319
01552,4339,1993,2346
01555,17047,8276,8771
01559,7538,3621,3917
01560,2097,1029,1068
01561,3356,1677,1679
01562,914,463,451
01563,3861,1853,2008
01564,6183,3026,3157
01571,3409,1614,1795
